NO,논문ID,논문명,논문 외국어명,저자,공동저자,학술지 명,학술지 외국어 명,발행기관 명,발행기관 외국어 명,등재 구분,발행년,권(호),페이지,논문번호,키워드(한국어),키워드(외국어),주제분야,피인용횟수,URL,DOI
1,ART002844508,Exploring Simondon’s Philosophy of Invention,시몽동의 발명 철학 탐색,이춘식(경인교육대학교),,실과교육연구,Journal of Korean Practical Arts Education Research,한국실과교육연구학회,The Society Of Korean Practical Arts Education,등재,202205,28(2),pp.1~20,,"Simondon’s philosophy of invention, Philosophy of technology, Philosophy of invention","시몽동의 발명철학, 시몽동의 기술철학, 발명철학",교육학,0,,
2,ART003127145,기술적 상상력이란 무엇인가?: 시몽동과 라투르를 중심으로,What is Technical Imagination?: Focusing on Simondon and Latour,김재희(을지대학교),,철학연구,Journal of The Society of philosophical studies,철학연구회,The Society Of Philosophical Studies,등재,202409,(146),pp.119~147,,"시몽동, 라투르, 기술적 상상력, 상상, 발명, 번역, 행위자연결망","Simondon, Latour, Technical Imagination, Imagination, Invention, Translation, Actor-Network",철학,0,https://doi.org/10.23908/JSPS.2024.9.146.119,10.23908/JSPS.2024.9.146.119
3,ART003199442,"기술과 종교의 종합, 가치와 규범의 소통: 시몽동의 메타윤리학","Synthesis of Technique and Religion, Communication of Values and Norms: Gilbert Simondon’s Metaethics",장태순(한림대학교),,근대 철학,Modern Philosophy,서양근대철학회,,등재,202504,25(),pp.201~223,,"시몽동, 메타윤리학, 개체화, 변환, 규범, 가치","Gilbert Simondon, Metaethics, Individuation, Transduction, Norm, Value",철학,0,http://modernphilosophy.kr/journal/thesis.asp,https://doi.org/10.52677/mph.2025.04.25.7
4,ART002953801,관계맺음 대상으로서 인공지능의 가능성 탐구 -시몽동과 해러웨이의 논의를 중심으로-,Exploring the Possibility of Artificial Intelligence as the Other of Relationship: Focusing on the Discourse of Simondon and Haraway,김아영(한국교원대학교),,한국교육논총,Korean Educational Research Journal,교육개발연구소,Education Research Institute,등재,202304,44(1),pp.91~124,,"도덕 교육, 인공지능 윤리, 시몽동, 해러웨이, 관계맺음","moral education, artificial intelligence ethics, Simondon, Haraway, relationship, moral relationship.",교육학,3,,https://doi.org/10.55152/KERJ.44.1.91
5,ART003293328,시몽동 이론의 여성주의적 읽기   : 삶의 초과와 넘쳐흐르는 성,A Feminist Reading of Simondon’s Theory :The Excess of Life and Overflowing Sexuality,오정진(부산대학교),,여성학논집,Women's Studies Review,한국여성연구원,"Korean Women's Institute, Ewha Womans University",등재,202512,42(2),pp.107~133,,"개체화, 전개체적, 개체초월적, 잠재성, 가능성","individuation, preindividual, transindividual, potential, possibility",여성학,0,,10.18341/wsr.2025.42.2.107
6,ART003312742,사전돌봄계획에 대한 생명윤리적 논쟁과 시몽동의 개체화 이론,,장태순(한림대학교),,생명연구,Studies on Life and Culture,생명문화연구소,Research Institute For Life And Culture Sogang University,등재,202602,79(),pp.23~44,,"사전돌봄계획, 선행자율성, 개체화, 변환",,서양철학,0,,
7,ART002815366,시몽동의 개체화론 관점에서 본 메타버스 공간 구축에 관한 연구,A Study on the Construction of Metaverse Space from the point of view Simondon's Individuation Theory,박정아(신안산대학교),,한국공간디자인학회 논문집,Journal of Korea Intitute of Spatial Design,한국공간디자인학회,Korean Institute of Spatial design,등재,202202,17(1),pp.253~264,,"질베르 시몽동, 개체화론, 메타버스 공간, 디지털 스페이스, 기술적 대상","Gilbert Simondon, Individuation, Metaverse Space, Digital Space, Technical objects",실내환경디자인,2,,10.35216/kisd.2022.17.1.253
8,ART003116048,"종교와 예술의 관계, 비디오 매체의 사례―시몽동, 낭시, 아감벤의 논의를 중심으로","A Study on the Relation between Religion and Art in the Case of Video Medium, Focusing on the Theories of Simondon, Nancy, and Agamben",김홍기(한국예술종합학교 미술원),,인문학연구,THE JOURNAL OF HUMANITIES,인문학연구원,Kyunghee University Institutes of Humanities,등재,202408,(60),pp.129~156,,"예술, 기술, 종교, 질베르 시몽동, 공동체, 비디오아트, 빌 비올라","Art, Technique, Religion, Gilbert Simondon, Community, Video Art, Bill Viola",기타인문학,0,http://dx.doi.org/10.35559/TJOH.60.4,10.35559/TJOH.60.4
9,ART003212562,e스포츠에서의 죽음과 부활: 시몽동의 개체화 이론을 통한 디지털 존재론과 윤리적 함의,Death and Resurrection in Esports: A Digital Ontology Study through Simondon’s Theory of Individuation,박성은(경성대학교),,한국스포츠학회,The Korean Journal of Sport,한국스포츠학회,Korea Sport Society,등재,202506,23(2),pp.31~52,,"e스포츠, 죽음, 시몽동, 개체화, 윤리","eSports, Death, Simondon, Individuation, Ethics",기타체육,0,,
10,ART003182349,‘질베르 시몽동(Gilbert Simondon)’ 철학에서 나타난 ‘기술개념’과 ‘필립 파레노(Philippe Parreno)’의 작품을 통한 확장된 조각의 현대화,"""The Concept of Technology in Gilbert Simondon's Philosophy and the Modernization of Expanded Sculpture Through the Works of Philippe Parreno""",김성윤(홍익대학교),고봉수(홍익대학교),한국휴먼이미지디자인,The Korean Human Image Design,한국휴먼이미지디자인학회,The Korean Human Image Design,등재,202503,7(1),pp.122~140,,"기술적 개체, 인공생명, 질베르 시몽동, 가변적 형상, 휴먼이미지, 필립 파레노","technological entity, artificial life, Gilbert Simondon, variable shape, human image, Philippe Parreno",감성문화/사회,0,,10.23082/hid.2025.7.1.007
